# STATION_ID | OWNER | TTYPE | HULL | NAME | PAYLOAD | LOCATION | TIMEZONE | FORECAST | NOTE
#
pilm4|N|C-MAN Station||Passage Island, MI|MARS payload|48.223 N 88.366 W (48&#176;13'24" N 88&#176;21'57" W)|E|FZUS63.KMQT |
pkbw3|NR|NERRS Weather Station||Pokegama Bay, Lake Superior Reserve, WI||46.672 N 92.136 W (46&#176;40'21" N 92&#176;8'8" W)|C| |Water Quality data for this Reserve are available at....<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=bilw3">BILW3</a> -- Barker's Island<br />
pkyf1|NP|Water Quality Station||Peterson Key, FL||24.918 N 80.747 W (24&#176;55'5" N 80&#176;44'48" W)|E|FZUS52.KKEY |Water levels are referenced to local datums.&nbsp; They provide relative change in water level and are not to be used for navigation.
plsf1|N|C-MAN Station||Pulaski Shoals Light, FL|ARES payload|24.693 N 82.773 W (24&#176;41'36" N 82&#176;46'23" W)|C|FZUS52.KKEY |On 02/28/2023, the Pulaski Shoals Light was disestablished due to deteriorating structural conditions. See the notice below for more details.<br style="text-transform: none; text-indent: 0px; letter-spacing: normal; font-style: normal; font-variant: normal; font-weight: normal; font-size: 13px; line-height: normal; font-family: arial,sans-serif; white-space: normal; color: rgb(0, 0, 0); word-spacing: 0px; background-color: rgb(255, 255, 255);" /> <p><a href="https://www.weather.gov/media/notification/pdf_2023_24/scn23-06_ndbc_plsf1.pdf">Disestablishment of C-MAN Station PLSF1 - Pulaski Shoals Light, Florida</a>
plsp4|PN|Water Level Observation Network||9758053 - Penuelas, PR||17.973 N 66.762 W (17&#176;58'21" N 66&#176;45'42" W)|A| |
plxa2|O|Water Level Observation Network||9451054 - Port Alexander, AK||56.247 N 134.647 W (56&#176;14'48" N 134&#176;38'51" W)|A| |
pmaf1|PT|Water Level Observation Network||8726384 - Port Manatee, FL||27.638 N 82.562 W (27&#176;38'18" N 82&#176;33'45" W)|E| |For area forecasts and warnings, select: <a href="http://www.srh.noaa.gov/tbw/">Tampa Bay WFO</a>
pmnt2|K|Water Level Observation Network||8778490 - Port Mansfield, TX||26.559 N 97.424 W (26&#176;33'34" N 97&#176;25'28" W)|C| |
pmoa2|O|Water Level Observation Network||9463502 - Port Moller, AK||55.990 N 160.562 W (55&#176;59'23" N 160&#176;33'42" W)|A| |Forecasts for this area are available at <a title="WFO Anchorage, AK" href="http://pafc.arh.noaa.gov/index.php?index=southwest">WFO Anchorage, AK</a><br />
pngw3|CE|GLOS Weather Station||Port Wing, WI||46.792 N 91.386 W (46&#176;47'30" N 91&#176;23'10" W)|C| |For Great Lakes marine forecasts, select: <a href="https://www.weather.gov/marine/forecast">GREAT LAKES FORECASTS</a>
pnlm4|O|Water Level Observation Network||9087096 - Port Inland, MI||45.968 N 85.869 W (45&#176;58'6" N 85&#176;52'8" W)|E| |
pnlm6|O|Water Level Observation Network||8741533 - Pascagoula NOAA Lab, MS||30.368 N 88.563 W (30&#176;22'4" N 88&#176;33'47" W)|C| |
poro3|O|Water Level Observation Network||9431647 - Port Orford, OR||42.739 N 124.498 W (42&#176;44'20" N 124&#176;29'53" W)|P|FZUS56.KMFR |
port2|K|Water Level Observation Network||8770475 - Port Arthur, TX||29.867 N 93.931 W (29&#176;52'2" N 93&#176;55'52" W)|C| |
pota2|N|C-MAN Station||Potato Point, AK|Sutron XPERT payload|61.060 N 146.700 W (61&#176;3'36" N 146&#176;42'0" W)|A|FZAK51.PAFC |
ppta1|DI|Water Quality Station||Perdido Pass, AL||30.279 N 87.556 W (30&#176;16'44" N 87&#176;33'21" W)|C| |
pptm2|PT|Water Level Observation Network||8578240 - Piney Point, MD||38.134 N 76.533 W (38&#176;8'2" N 76&#176;31'59" W)|E| |For area forecasts and warnings, select: <a href="http://www.weather.gov/akq/">Wakefield WFO</a>
ppxa2|MA|C-MAN Station||Point Pigot||60.801 N 148.357 W (60&#176;48'3" N 148&#176;21'26" W)|A| |
ppxc1|PT|Water Level Observation Network||9414847 - Point Potrero, Richmond, CA||37.906 N 122.365 W (37&#176;54'20" N 122&#176;21'54" W)|P| |
prda2|O|Water Level Observation Network||9497645 - Prudhoe Bay, AK||70.400 N 148.527 W (70&#176;24'0" N 148&#176;31'36" W)|A|FZAK51.PAFC |
prhh1|PT|Water Level Observation Network||1612401 - Pearl Harbor, HI||21.367 N 157.964 W (21&#176;22'3" N 157&#176;57'50" W)|H| |
prim4|CE|GLOS Weather Station||Presque Isle Light, MI||45.357 N 83.492 W (45&#176;21'23" N 83&#176;29'32" W)|E| |
prjc1|PT|Water Level Observation Network||9410665 - Los Angeles Pier J, CA||33.733 N 118.186 W (33&#176;43'59" N 118&#176;11'8" W)|P| |
prta2|AK|Weather Station||Point Retreat, AK||58.411 N 134.955 W (58&#176;24'40" N 134&#176;57'18" W)|A| |For area forecasts and warnings, select: <a href="http://pajk.arh.noaa.gov/">Juneau WFO</a>
prto3|CM|Water Quality Station||SATURN River Station #06 at Portland||45.518 N 122.669 W (45&#176;31'5" N 122&#176;40'8" W)|P| |Station PRTO3 has been transferred to USGS. Data is currently unavailable.
prur1|PT|Water Level Observation Network||8452314 - Sandy Point, Prudence Island, RI||41.605 N 71.304 W (41&#176;36'18" N 71&#176;18'15" W)|E| |
pryc1|O|Water Level Observation Network||9415020 - Point Reyes, CA||37.996 N 122.977 W (37&#176;59'46" N 122&#176;58'36" W)|P|FZUS56.KMTR |
psbc1|PT|Water Level Observation Network||9415115 - Pittsburg (Suisun Bay), CA||38.040 N 121.887 W (38&#176;2'23" N 121&#176;53'12" W)|P| |
psbm1|O|Water Level Observation Network||8410140 - Eastport, ME||44.905 N 66.983 W (44&#176;54'17" N 66&#176;58'58" W)|E|FZUS51.KCAR |Caution: Right whales may be active in northeast waters year-round. NOAA may establish temporary Dynamic Management Areas (DMAs) to protect aggregations of right whales. Mariners are requested to transit DMAs at 10 knots or less when consistent with safe navigation. For information on currently active DMAs, go to: <a title="http://www.nmfs.noaa.gov/pr/shipstrike" href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://rwhalesightings.nefsc.noaa.gov/">&nbsp;</a>
pscm4|CE|GLOS Weather Station||Port Sanilac, MI||43.420 N 82.540 W (43&#176;25'12" N 82&#176;32'24" W)|E| |
pslc1|O|Water Level Observation Network||9412110 - Port San Luis, CA||35.169 N 120.754 W (35&#176;10'7" N 120&#176;45'15" W)|P|FZUS56.KMTR |
pstl1|O|Water Level Observation Network||8760922 - Pilot's Station East, SW Pass, LA||28.932 N 89.407 W (28&#176;55'56" N 89&#176;24'25" W)|C| |
pstn6|O|Water Level Observation Network||9063028 - Sturgeon Point, NY||42.691 N 79.048 W (42&#176;41'28" N 79&#176;2'52" W)|E| |
psxc1|PT|Water Level Observation Network||9410692 - Los Angeles Pier S||33.768 N 118.226 W (33&#176;46'6" N 118&#176;13'32" W)|P| |
ptac1|N|C-MAN Station||Point Arena, CA|MARS payload|38.955 N 123.741 W (38&#176;57'18" N 123&#176;44'28" W)|P|FZUS56.KEKA FZUS56.KMTR|Station disestablished 02/09/2022.
ptat2|N|C-MAN Station||Port Aransas, TX|MARS payload|27.826 N 97.051 W (27&#176;49'33" N 97&#176;3'2" W)|C|FZUS54.KCRP |
ptaw1|O|Water Level Observation Network||9444090 - Port Angeles, WA||48.125 N 123.441 W (48&#176;7'29" N 123&#176;26'28" W)|P|FZUS56.KSEW |
ptbm6|PT|Water Level Observation Network||8741003 - Petit Bois Island, Port of Pascagoula, MS||30.213 N 88.505 W (30&#176;12'47" N 88&#176;30'17" W)|C| |
ptcr1|PT|Water Level Observation Network||8452951 - Potter Cove, Prudence Island, RI||41.638 N 71.340 W (41&#176;38'15" N 71&#176;20'24" W)|E| |For area forecasts and warnings, select: <a href="http://www.weather.gov/box/">Boston WFO</a>
ptgc1|N|C-MAN Station||Point Arguello, CA|MARS payload|34.577 N 120.648 W (34&#176;34'36" N 120&#176;38'54" W)|P|FZUS56.KLOX |Station failed 02/14/23.
ptim4|O|Water Level Observation Network||9099004 - Point Iroquois, MI||46.485 N 84.631 W (46&#176;29'4" N 84&#176;37'51" W)|E| |
ptit2|O|Water Level Observation Network||8779770 - Port Isabel, TX||26.061 N 97.215 W (26&#176;3'40" N 97&#176;12'56" W)|C|FZUS54.KBRO |
ptjn6|I|Long Island Ferry||Port Jefferson, NY||40.948 N 73.070 W (40&#176;56'52" N 73&#176;4'12" W)|E|FZUS51.KOKX |
ptla2|MA|Fixed Structure Weather Station||Portland Island, AK||58.346 N 134.752 W (58&#176;20'47" N 134&#176;45'8" W)|A| |
ptoa1|PT|Water Level Observation Network||8737005 - Pinto Island, AL||30.671 N 88.031 W (30&#176;40'17" N 88&#176;1'52" W)|C| |
ptrf1|P|Shorebased Tower||PAS -Port Richey, FL||28.285 N 82.733 W (28&#176;17'6" N 82&#176;43'57" W)|E|FZUS52.KTBW |
ptrp4|CI|Weather Station||Puntas Rincon, PR||18.367 N 67.251 W (18&#176;22'1" N 67&#176;15'4" W)|N| |
ptww1|O|Water Level Observation Network||9444900 - Port Townsend, WA||48.111 N 122.760 W (48&#176;6'40" N 122&#176;45'35" W)|P|FZUS56.KSEW |Wind data from PTWW1 is subject to obstruction by ferries docking at the pier during the daytime hours.<br />
pvdr1|PT|Water Level Observation Network||8453662 - Providence Visibility, RI||41.786 N 71.383 W (41&#176;47'9" N 71&#176;22'59" W)|E| |
pvgf1|IC|Fixed Structure Weather Station||Port Everglades Channel, FL||26.092 N 80.109 W (26&#176;5'33" N 80&#176;6'32" W)|E| |
pwaw3|CE|GLOS Weather Station||Port Washington, WI||43.388 N 87.867 W (43&#176;23'17" N 87&#176;52'0" W)|C| |For Great Lakes marine forecasts, select: <a href="https://www.weather.gov/marine/forecast">GREAT LAKES FORECASTS</a>
pxac1|PT|Water Level Observation Network||9410690 - Los Angeles Berth 161, CA||33.764 N 118.265 W (33&#176;45'49" N 118&#176;15'56" W)|P| |
pxoc1|PT|Water Level Observation Network||9414311 - San Francisco Pier 1, CA||37.798 N 122.393 W (37&#176;47'52" N 122&#176;23'34" W)|P| |
pxsc1|PT|Water Level Observation Network||9414296 - Pier 17, San Francisco Bay, CA||37.803 N 122.397 W (37&#176;48'11" N 122&#176;23'50" W)|P| |
qptr1|PT|Water Level Observation Network||8454049 - Quonset Point, RI||41.586 N 71.407 W (41&#176;35'9" N 71&#176;24'25" W)|E| |For area forecasts and warnings, select: <a href="http://www.weather.gov/box/">Boston WFO</a>
rarm6|O|Water Level Observation Network||8741094 - Range A Rear, Port of Pascagoula, MS||30.343 N 88.511 W (30&#176;20'36" N 88&#176;30'40" W)|C| |
rckm4|O|Water Level Observation Network||9076024 - Rock Cut, MI||46.264 N 84.191 W (46&#176;15'51" N 84&#176;11'28" W)|E| |
rcmc1|PT|Water Level Observation Network||9414863 - Richmond, CA||37.923 N 122.410 W (37&#176;55'23" N 122&#176;24'34" W)|P|FZUS56.KMTR |
rcpt2|O|Water Level Observation Network||8774770 - Rockport, TX||28.024 N 97.048 W (28&#176;1'27" N 97&#176;2'53" W)|C| |
rcrn6|O|Water Level Observation Network||9052058 - Rochester, NY||43.269 N 77.626 W (43&#176;16'9" N 77&#176;37'33" W)|E| |
rcyf1|O|Water Level Observation Network||8720625 - Racy Point, St. Johns River, FL||29.800 N 81.550 W (29&#176;48'1" N 81&#176;33'0" W)|E|FZUS52.KJAX |
rdda2|O|Water Level Observation Network||9491094 - Red Dog Dock, AK||67.575 N 164.067 W (67&#176;34'31" N 164&#176;4'0" W)|A|FZAK52.PAFG |
rdyd1|O|Water Level Observation Network||8551910 - Reedy Point, DE||39.558 N 75.572 W (39&#176;33'30" N 75&#176;34'20" W)|E|FZUS51.KPHI |
rixa2|MA|C-MAN Station||Rocky Island, AK||58.177 N 135.052 W (58&#176;10'37" N 135&#176;3'6" W)|A| |
rkqf1|NR|NERRS Water Quality Station||Lower Henderson Creek, Rookery Bay Reserve, FL||26.027 N 81.734 W (26&#176;1'39" N 81&#176;44'1" W)|E| |
rkxf1|NR|NERRS Weather Station||Upper Henderson Creek, Rookery Bay Reserve, FL||26.050 N 81.701 W (26&#176;2'59" N 81&#176;42'4" W)|E| |Water Quality data for this Reserve are available at....<br /> <a href="https://www.ndbc.noaa.gov/station_page.php?station=rkqf1">RKQF1</a> -- Lower Henderson Creek<br />
rlit2|K|Water Level Observation Network||8779280 - Realitos Peninsula, TX||26.262 N 97.285 W (26&#176;15'44" N 97&#176;17'7" W)|C| |
rlot2|K|Water Level Observation Network||8770971 - Rollover Pass, TX||29.515 N 94.513 W (29&#176;30'54" N 94&#176;30'47" W)|C| |
roam4|N|C-MAN Station||Rock of Ages, MI|MARS payload|47.867 N 89.315 W (47&#176;52'0" N 89&#176;18'55" W)|E|FZUS63.KMQT |
robn4|PT|Water Level Observation Network||8530973 - Robbins Reef, NJ||40.657 N 74.065 W (40&#176;39'26" N 74&#176;3'55" W)|E|FZUS51.KOKX |
rplv2|PT|Water Level Observation Network||8632837 - Rappahannock Light, VA||37.538 N 76.014 W (37&#176;32'19" N 76&#176;0'51" W)|E|FZUS51.KAKQ |
rprn6|EA|GLOS Weather Station||Rochester Coast Guard, NY||43.263 N 77.598 W (43&#176;15'45" N 77&#176;35'53" W)|E| |For Great Lakes marine forecasts, select: <a href="https://www.weather.gov/marine/forecast">GREAT LAKES FORECASTS</a>
rsjt2|K|Water Level Observation Network||8777812 - Rincon del San Jose, TX||26.801 N 97.471 W (26&#176;48'5" N 97&#176;28'14" W)|C| |
rtat2|K|Water Level Observation Network||8775237 - Port Aransas, TX||27.840 N 97.072 W (27&#176;50'23" N 97&#176;4'21" W)|C| |
rtot2|K|Offshore Tower||100: RTNS Offshore, TX||27.753 N 96.967 W (27&#176;45'9" N 96&#176;58'2" W)|C|FZUS54.KCRP |
rtyc1|PT|Water Level Observation Network||9414523 - Redwood City, CA||37.507 N 122.212 W (37&#176;30'25" N 122&#176;12'43" W)|P|FZUS56.KMTR |
ryec1|NR|NERRS Water Quality Station||Second Mallard||38.184 N 122.014 W (38&#176;11'3" N 122&#176;0'49" W)|P| |
sacv4|EM|Weather Station||Sacrifice Island, Mexico|Sutron XPERT payload|19.174 N 96.093 W (19&#176;10'27" N 96&#176;5'37" W)|C| |
sanf1|N|C-MAN Station||Sand Key, FL|SCOOP payload|24.456 N 81.877 W (24&#176;27'21" N 81&#176;52'38" W)|E|FZUS52.KKEY |
sapf1|O|Water Level Observation Network||8726520 - St. Petersburg, Tampa Bay, FL||27.761 N 82.627 W (27&#176;45'38" N 82&#176;37'37" W)|E|FZUS52.KTBW |
saqg1|NR|NERRS Water Quality Station||Lower Duplin, Sapelo Island Reserve, GA||31.418 N 81.296 W (31&#176;25'5" N 81&#176;17'46" W)|E| |
sauf1|N|C-MAN Station||St. Augustine, FL|MARS payload|29.857 N 81.264 W (29&#176;51'26" N 81&#176;15'49" W)|E|FZUS52.KJAX |Right whales are active off FL from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br />
saxg1|NR|NERRS Weather Station||Marsh Island, Sapelo Island Reserve, GA||31.418 N 81.296 W (31&#176;25'5" N 81&#176;17'46" W)|E| |<p>Water Quality data for this Reserve are available at....<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=saqg1">SAQG1</a> -- Lower Duplin</p>Right whales are active off GA from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br />
sbbn2|LM|Buoy||Lake Mead - South Boulder Basin||36.050 N 114.748 W (36&#176;3'1" N 114&#176;44'51" W)|M| |
sbeo3|O|Water Level Observation Network||9435380 - South Beach, OR||44.625 N 124.045 W (44&#176;37'32" N 124&#176;2'42" W)|P|FZUS56.KPQR |
sbio1|N|C-MAN Station||South Bass Island, OH|Sutron XPERT payload|41.629 N 82.841 W (41&#176;37'44" N 82&#176;50'29" W)|E|FZUS51.KCLE |
sblf1|O|Water Level Observation Network||8726673 - Seabulk, Tampa, FL||27.923 N 82.445 W (27&#176;55'23" N 82&#176;26'41" W)|E| |
sblm4|CE|GLOS Weather Station||Saginaw Bay Light #1, MI||43.810 N 83.720 W (43&#176;48'36" N 83&#176;43'12" W)|E|FZUS53.KDTX |
sbpt2|O|Water Level Observation Network||8770570 - Sabine Pass North, TX||29.728 N 93.870 W (29&#176;43'42" N 93&#176;52'12" W)|C|FZUS54.KLCH |
scis1|O|Water Level Observation Network||8664941 - South Capers Island, SC||32.857 N 79.707 W (32&#176;51'24" N 79&#176;42'24" W)|E| |For area forecasts and warnings, select: <a href="http://www.erh.noaa.gov/chs/">Charleston WFO</a><br /><br />
scld1|NR|NERRS Water Quality Station||Scotton Landing, Delaware Reserve, DE||39.085 N 75.461 W (39&#176;5'5" N 75&#176;27'39" W)|E| |
scp02|N|Test station||NDBC/OPT Engineering Test Station|SCOOP payload|39.476 N 74.214 W (39&#176;28'34" N 74&#176;12'50" W)|E| |
scqc1|NR|NERRS Water Quality Station||China Camp, San Francisco Bay Reserve, CA||38.001 N 122.460 W (38&#176;0'5" N 122&#176;27'36" W)|P| |
scqn6|NR|NERRS Water Quality Station||Stony Creek, Hudson River Reserve, NY||42.046 N 73.911 W (42&#176;2'47" N 73&#176;54'39" W)|E| |
scsn6|I|Long Island Ferry||South Central Sound, NY||41.024 N 73.108 W (41&#176;1'25" N 73&#176;6'29" W)|E|FZUS51.KOKX |
scxa2|MA|C-MAN Station||Scull Island, AK||58.205 N 134.646 W (58&#176;12'17" N 134&#176;38'45" W)|A| |
sdbc1|O|Water Level Observation Network||9410170 - San Diego, CA||32.714 N 117.174 W (32&#176;42'51" N 117&#176;10'26" W)|P|FZUS56.KSGX |
sdhn4|O|Water Level Observation Network||8531680 - Sandy Hook, NJ||40.467 N 74.009 W (40&#176;28'1" N 74&#176;0'34" W)|E|FZUS51.KPHI |Right whales are active off NJ from November to April.&nbsp; Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas along the mid-Atlantic coast.&nbsp; To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a><a href="http://www.nmfs.noaa.gov/pr/shipstrike">&nbsp;</a>
sdia2|AK|Weather Station||South Douglas, AK||58.277 N 134.389 W (58&#176;16'38" N 134&#176;23'21" W)|A| |For area forecasts and warnings, select: <a href="http://pajk.arh.noaa.gov/">Juneau WFO</a>
sdrt2|K|Water Level Observation Network||8773037 - Seadrift, TX||28.407 N 96.712 W (28&#176;24'26" N 96&#176;42'43" W)|C| |
secg1|H|C-MAN Station||U.S. Navy Tower R4 GA||30.800 N 80.316 W (30&#176;48'0" N 80&#176;18'58" W)|E|FZUS52.KJAX FZNT23.KNHC|
sefo3|CM|Water Quality Station||SATURN Estuary Station #04 at Mott Basin||46.204 N 123.759 W (46&#176;12'13" N 123&#176;45'31" W)|P| |
seim1|PT|Water Level Observation Network||8419870 - Seavey Island, ME||43.080 N 70.742 W (43&#176;4'48" N 70&#176;44'30" W)|E| |
seqa2|NR|NERRS Water Quality Station||Seldovia Deep, Katchemak Bay Reserve, AK||59.441 N 151.721 W (59&#176;26'27" N 151&#176;43'15" W)|A| |
seto3|CM|Water Quality Station||SATURN Estuary Station #03||46.200 N 123.941 W (46&#176;12'0" N 123&#176;56'27" W)|P| |
sfxc1|NR|NERRS Weather Station||Rush Ranch, San Francisco Bay Reserve, CA||38.200 N 122.026 W (38&#176;12'2" N 122&#176;1'35" W)|P| |Water Quality data for this Reserve are available at....<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=fffc1">FFFC1</a> -- First Mallard<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=ryec1">RYEC1</a>?-- Second Mallard<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=gggc1">GGGC1</a>?-- Gallinas Creek<br /><a href="https://www.ndbc.noaa.gov/station_page.php?station=scqc1">SCQC1</a>?-- China Camp
sgnt2|K|Water Level Observation Network||8772985 - Sargent, TX||28.771 N 95.617 W (28&#176;46'17" N 95&#176;37'0" W)|C| |Station SGNT2 was re-established by the Texas Coastal Ocean Observing Network on September 6, 2016.
sgnw3|N|C-MAN Station||Sheboygan, WI|Sutron XPERT payload|43.749 N 87.693 W (43&#176;44'58" N 87&#176;41'34" W)|C|FZUS53.KMKX |
sgof1|N|C-MAN Station||Tyndall AFB Tower C (N4), FL|MARS payload|29.408 N 84.858 W (29&#176;24'30" N 84&#176;51'30" W)|C|FZUS52.KTAE |The highly endangered <a href="https://www.fisheries.noaa.gov/species/rices-whale">Rice's whale</a>, a newly identified species, inhabit the northeastern Gulf of Mexico year-round along the continental shelf-break between 100m and 400m depth. Vessels can kill or injure whales - please use slow speeds and be prepared to avoid surfacing whales. To report sightings call 1-877-WHALE-HELP.
sgrn4|J|Shorebased Tower||Sea Girt, NJ||40.120 N 74.030 W (40&#176;7'12" N 74&#176;1'48" W)|E|FZUS51.KOKX |
sgxa2|MA|C-MAN Station||ST GEORGE MXAK||56.599 N 169.542 W (56&#176;35'58" N 169&#176;32'30" W)|| |
shbl1|O|Water Level Observation Network||8761305 - Shell Beach, LA||29.868 N 89.673 W (29&#176;52'5" N 89&#176;40'24" W)|C| |
shpf1|P|Shorebased Tower||SHP - Shell Point, FL||30.058 N 84.291 W (30&#176;3'29" N 84&#176;17'28" W)|E|FZUS52.KTAE |
shxa2|MA|C-MAN Station||Sitka Harbor, AK||57.055 N 135.349 W (57&#176;3'20" N 135&#176;20'58" W)|A| |
sipf1|FT|Weather Station||Sebastian Inlet State Park North Jetty, FL||27.862 N 80.445 W (27&#176;51'42" N 80&#176;26'41" W)|E| |An associated ADCP/Wave site is located at 87* 51' 59"W 80* 26' 45"W -- about 0.3 nm (600 yds) NNW of the meteorological station.<br />Right whales are active off FL from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater in specific areas and times along the U.S. East Coast.  It is illegal to approach right whales within 500 yards.  To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.<br />
sipm6|Z|Shorebased Tower||Ship Island Pass, MS / CSI13||30.267 N 89.017 W (30&#176;16'0" N 89&#176;1'0" W)|C|FZUS54.KLIX |
sisa2|AK|Weather Station||Sisters Island, AK||58.177 N 135.259 W (58&#176;10'37" N 135&#176;15'34" W)|A| |For area forecasts and warnings, select: <a href="http://pajk.arh.noaa.gov/">Juneau WFO</a>
sisw1|N|C-MAN Station||Smith Island, WA|SCOOP payload|48.321 N 122.831 W (48&#176;19'14" N 122&#176;49'51" W)|P|FZUS56.KSEW |
sixa2|MA|C-MAN Station||Ship Island, AK||55.599 N 132.203 W (55&#176;35'56" N 132&#176;12'12" W)|A| |Weather data from this station can now be seen under Station ID <a title="SPXA2" href="http://www.ndbc.noaa.gov/station_page.php?station=spxa2">SPXA2</a>.
sjlf1|N|C-MAN Station||St. John's Light||30.400 N 81.400 W (30&#176;24'0" N 81&#176;24'0" W)|E| |
sjnp4|O|Water Level Observation Network||9755371 - San Juan, La Puntilla, San Juan Bay, PR||18.459 N 66.116 W (18&#176;27'32" N 66&#176;6'59" W)|N|FZCA52.TJSJ |
sjom4|CE|GLOS Weather Station||St. Joseph, MI||42.098 N 86.494 W (42&#176;5'52" N 86&#176;29'40" W)|E| |For Great Lakes marine forecasts, select:<a href="https://www.weather.gov/marine/forecast"> GREAT LAKES FORECASTS</a>
sjsn4|PT|Water Level Observation Network||8537121 - Ship John Shoal, NJ||39.305 N 75.377 W (39&#176;18'19" N 75&#176;22'36" W)|E|FZUS51.KPHI |
skcf1|PT|Water Level Observation Network||8726671 - Sparkman Channel Entrance, FL||27.921 N 82.445 W (27&#176;55'14" N 82&#176;26'43" W)|E|FZUS52.KTBW |
skmg1|S|C-MAN Station||U.S. Navy Tower M2R6 GA||31.534 N 80.236 W (31&#176;32'1" N 80&#176;14'9" W)|E|FZUS52.KCHS |
skqn6|NR|NERRS Water Quality Station||Saw Kill, Hudson River Reserve, NY||42.017 N 73.915 W (42&#176;1'2" N 73&#176;54'54" W)|E| |
skta2|O|Water Level Observation Network||9452400 - Skagway, AK||59.450 N 135.327 W (59&#176;27'0" N 135&#176;19'36" W)|A| |
skxa2|MA|C-MAN Station||Skagway MXAK, AK||59.448 N 135.326 W (59&#176;26'54" N 135&#176;19'35" W)|A| |
slim2|O|Water Level Observation Network||8577330 - Solomons Island, MD||38.321 N 76.452 W (38&#176;19'16" N 76&#176;27'6" W)|E|FZUS51.KLWX |
slmn2|LM|Buoy||Lake Mohave - South||35.389 N 114.621 W (35&#176;23'20" N 114&#176;37'15" W)|M| |
sloo3|NR|Water Quality Station||Elliot Creek - South Slough Reserve, OR||43.296 N 124.311 W (43&#176;17'47" N 124&#176;18'39" W)|P| |
slpl1|Z|Shorebased Tower||Salt Point, LA  / CSI14||29.517 N 91.550 W (29&#176;31'0" N 91&#176;33'0" W)|C|FZUS54.KLCH |
slvm5|CE|GLOS Weather Station||Silver Bay, MN||47.278 N 91.270 W (47&#176;16'39" N 91&#176;16'12" W)|C| |For Great Lakes marine forecasts, select: <a href="https://www.weather.gov/marine/forecast">GREAT LAKES FORECASTS</a>
slxa2|MA|C-MAN Station||Salmon Landing, AK||55.340 N 131.644 W (55&#176;20'22" N 131&#176;38'39" W)|A| |
sm058|WH|Moored Buoy||Woods Hole Test Camera||59.923 N 39.528 W (59&#176;55'22" N 39&#176;31'40" W)|?| |Woods Hole Institute Test Camera
smbs1|NS|Coastal Marine Station||Springmaid pier, SC||33.655 N 78.918 W (33&#176;39'18" N 78&#176;55'6" W)|E| |Right whales are active off SC from November to April. Speed restrictions of 10 knots apply to vessels 65 feet or greater within the vicinity of this station between November 1 and April 30.&nbsp; It is illegal to approach right whales within 500 yards. To learn more about right whales and rules protecting them, go to: <a href="http://www.nmfs.noaa.gov/pr/shipstrike">http://www.nmfs.noaa.gov/pr/shipstrike</a>.
smkf1|N|C-MAN Station||Sombrero Key, FL|SCOOP payload|24.628 N 81.109 W (24&#176;37'40" N 81&#176;6'31" W)|E|FZUS52.KKEY |
smoc1|O|Water Level Observation Network||9410840 - Santa Monica, CA||34.008 N 118.500 W (34&#176;0'30" N 118&#176;30'0" W)|P|FZUS56.KLOX |As of 1800 UTC, January 22, 2010; observations for this location will be under Station ID ICAC1.
snda2|O|Water Level Observation Network||9459450 - Sand Point, AK||55.336 N 160.502 W (55&#176;20'11" N 160&#176;30'6" W)|A| |
sndp5|O|Water Level Observation Network||1619910 - Sand Island, Midway Islands||28.215 N 177.361 W (28&#176;12'54" N 177&#176;21'40" W)|?| |
snsn7|A|Weather Station||8659897 - Sunset Beach, NC||33.865 N 78.507 W (33&#176;51'54" N 78&#176;30'24" W)|E|FZUS52.KILM |
